id,config|n_train,config|dataset_name,config|labels,config|transmute_to,config|scale_factor,config|r_max,config|num_layers,config|num_features,config|l_max,config|seed,config|beta,config|ema_decay,config|batch_size,result|num_params,result|best_epoch,result|num_epochs,result|train|cell_energy_rmse,result|train|scaled_energy_rmse,result|train|per_atom_energy_rmse,result|train|force_rmse,result|val|cell_energy_rmse,result|val|scaled_energy_rmse,result|val|per_atom_energy_rmse,result|val|force_rmse,result|test|cell_energy_rmse,result|test|scaled_energy_rmse,result|test|per_atom_energy_rmse,result|test|force_rmse,metadata|timing_marks,metadata|timing|training|start,metadata|timing|training|end,metadata|timing|training|duration,metadata|timing|evaluation|start,metadata|timing|evaluation|end,metadata|timing|evaluation|duration
23.06.28-19.18.36-734012,100,C-GAP-17,dft,Si,1.5,6,4,32,1,42,4,0.99,10,73784,112,144,5.632935533994441,0.71878920354007,0.0982836828117072,0.9026385043735956,6.702953458259878,0.7717353003317976,0.0980525731537588,1.0834931705172048,7.284998422550213,0.8433058814880026,0.1112685807208125,1.0594330248095434,"[('start', 1687976316.734139), ('end', 1687976648.259142)]",1687976319.522981,1687976556.583135,237.06015396118164,1687976556.583156,1687976648.259084,91.67592787742616
23.06.28-19.30.51-466697,100,C-GAP-17,ace,Si,1.5,6,4,32,1,42,4,0.99,10,73784,120,150,4.953716936880039,0.6287330838254389,0.0848190999600724,0.7247462701181496,6.488583322510622,0.7418652211559693,0.0924798285338588,0.9455569822186488,7.026250084240213,0.8009130683815063,0.1039635163316304,0.9191298201245116,"[('start', 1687977051.466818), ('end', 1687977386.303132)]",1687977054.395745,1687977295.21264,240.8168950080872,1687977295.21266,1687977386.303072,91.090411901474
23.06.28-19.46.50-432517,100,C-SYNTH-23M:reasonable,ace,Si,1.5,6,4,32,1,42,4,0.99,10,73784,322,322,11.813288397115688,0.8353256333712862,0.0590664419855784,0.4271417616520711,12.495946202574276,0.8835968297182559,0.0624797310128713,0.5332388072862122,12.77569296406365,0.903377912924667,0.0638784648203182,0.513956364028487,"[('start', 1687978010.432633), ('end', 1687980958.823414)]",1687978255.565626,1687980717.318478,2461.752852201462,1687980717.318514,1687980958.823314,241.50479984283447
23.06.28-22.39.25-814269,330,C-SYNTH-23M:reasonable,ace,Si,1.5,6,4,32,1,42,4,0.99,10,73784,309,309,11.649981946010328,0.8237781234724754,0.0582499097300516,0.37995459047039,11.478774519424803,0.8116719302396632,0.057393872597124,0.4377978921606087,12.15632885299686,0.8595822566287764,0.0607816442649842,0.4443956341212947,"[('start', 1687988365.814389), ('end', 1687991236.215981)]",1687988368.539129,1687990949.731931,2581.192801952362,1687990949.73196,1687991236.215908,286.48394799232483
23.06.29-01.26.15-690272,1000,C-SYNTH-23M:reasonable,ace,Si,1.5,6,4,32,1,42,4,0.99,10,73784,356,356,11.752866063123085,0.8310531291611575,0.0587643303156154,0.3237398348022472,11.66421299105162,0.8247844103176821,0.058321064955258,0.3587395782048804,11.953374084120991,0.8452311872941488,0.0597668704206049,0.345559660744541,"[('start', 1687998375.690376), ('end', 1688007163.75156)]",1687998378.475681,1688006749.528324,8371.052642822266,1688006749.528346,1688007163.751489,414.22314286232
23.06.29-08.50.19-150073,100,C-SYNTH-23M:reasonable,ace,Si,1.0,4,4,32,1,42,4,0.99,10,73784,227,227,7.359047568467578,0.5203632438737797,0.0367952378423378,0.4245079005996836,7.266028696029048,0.5137858163258187,0.0363301434801452,0.5440453699300183,6.897207565575632,0.4877062240869688,0.0344860378278781,0.506815904797843,"[('start', 1688025019.150197), ('end', 1688027446.955673)]",1688025021.972341,1688027203.845008,2181.872666835785,1688027203.845044,1688027446.955588,243.1105442047119
23.06.29-09.51.11-240681,330,C-SYNTH-23M:reasonable,ace,Si,1.0,4,4,32,1,42,4,0.99,10,73784,162,162,5.945172750128718,0.4203871966941492,0.0297258637506435,0.4152695566083813,6.026861053000039,0.4261634319845424,0.0301343052650002,0.4466940425817148,6.030661401204292,0.4264321571831521,0.0301533070060214,0.4324245123349023,"[('start', 1688028671.24079), ('end', 1688030325.682026)]",1688028673.844898,1688030040.406575,1366.561676979065,1688030040.406605,1688030325.681956,285.27535104751587
23.06.29-10.37.53-925934,1000,C-SYNTH-23M:reasonable,ace,Si,1.0,4,4,32,1,42,4,0.99,10,73784,299,299,3.2618171667309137,0.230645303758612,0.0163090858336545,0.3072169368451636,3.3717621309312813,0.2384195867329512,0.0168588106546564,0.3435372321408278,3.363106585674736,0.2378075472583742,0.0168155329283736,0.3315189867242366,"[('start', 1688031473.926053), ('end', 1688038979.606749)]",1688031476.641631,1688038566.136341,7089.4947102069855,1688038566.136381,1688038979.606698,413.4703171253204
23.06.29-14.11.44-365373,3300,C-SYNTH-23M:reasonable,ace,Si,1.5,6,4,32,1,42,4,0.99,10,73784,183,187,12.01722432642364,0.8497460812254096,0.0600861216321182,0.313688228530706,11.844027723405542,0.8374992319781526,0.0592201386170277,0.3321054034619965,11.99549808871728,0.8482098042242259,0.0599774904435864,0.3192682921060396,"[('start', 1688044304.379102), ('end', 1688059568.705776)]",1688044321.774339,1688059147.40465,14825.630311012268,1688059147.404693,1688059568.705713,421.30102014541626
23.06.29-19.37.16-930520,100,C-SYNTH-23M:reasonable,ace,Si,1.5,4,4,32,1,42,4,0.99,10,73784,236,262,14.014808054374296,0.9909965812275908,0.0700740402718714,0.5531166782984313,12.851121456918316,0.9087115128038884,0.0642556072845915,0.6254792332265754,13.348932847664384,0.9439120938187336,0.0667446642383219,0.6140862409290792,"[('start', 1688063836.930648), ('end', 1688065259.216572)]",1688063841.031893,1688065080.522847,1239.4909539222715,1688065080.522884,1688065259.216492,178.693608045578
23.06.29-20.16.23-578801,330,C-SYNTH-23M:reasonable,ace,Si,1.5,4,4,32,1,42,4,0.99,10,73784,213,240,12.68807442652698,0.8971823467196843,0.0634403721326349,0.4998611491688552,12.05757984050078,0.852599646991631,0.0602878992025038,0.5388615636083767,12.560057552469983,0.8881301867444836,0.0628002877623499,0.5406589784774903,"[('start', 1688066183.578925), ('end', 1688067198.929952)]",1688066186.41534,1688066987.075234,800.659893989563,1688066987.075259,1688067198.929868,211.85460901260376
23.06.29-20.47.24-291172,1000,C-SYNTH-23M:reasonable,ace,Si,1.5,4,4,32,1,42,4,0.99,10,73784,144,144,12.496306623594176,0.8836223153329812,0.0624815331179708,0.4804212394330007,11.793238303760145,0.8339078776737734,0.0589661915188007,0.4975860186734304,12.495294171487991,0.8835507241579902,0.0624764708574399,0.4881837142574282,"[('start', 1688068044.291301), ('end', 1688069716.096134)]",1688068047.092338,1688069407.720559,1360.628220796585,1688069407.720585,1688069716.096054,308.3754689693451
23.07.01-12.07.30-671895,10000,C-SYNTH-23M:reasonable,ace,Si,1.5,6,4,32,1,42,4,0.99,10,73784,175,182,12.171159996581258,0.8606309768489044,0.0608557999829063,0.2940312561031844,11.899484311313293,0.8414206049152563,0.0594974215565664,0.3059952134083938,12.082581470912432,0.8543675292321111,0.0604129073545621,0.2939879345960369,"[('start', 1688209650.672021), ('end', 1688251596.630216)]",1688209653.511385,1688251183.2347,41529.72331500053,1688251183.234725,1688251596.630161,413.3954360485077
23.07.03-16.05.42-587979,3300,C-SYNTH-23M:reasonable,ace,Si,1.5,4,4,32,1,42,4,0.99,10,73784,165,187,12.398112083458765,0.8766789128124566,0.0619905604172938,0.420980477065778,11.75300608733715,0.8310630303682871,0.0587650304366857,0.4373773988126529,12.357259223596763,0.8737901793885283,0.0617862961179838,0.4273068854611394,"[('start', 1688396742.588101), ('end', 1688409408.453908)]",1688396745.479777,1688409095.934461,12350.454684019089,1688409095.934484,1688409408.453837,312.51935291290283
23.07.04-05.49.45-594905,10000,C-SYNTH-23M:reasonable,ace,Si,1.5,4,4,32,1,42,4,0.99,10,73784,29,66,12.456014827023179,0.880773255074827,0.062280074135115895,0.44354910349305915,11.796394494667442,0.8341310540731005,0.0589819724733372,0.45110798587837286,12.317464927077646,0.8709762976964066,0.06158732463538823,0.44079695085438425,"[('start', 1688446185.595019), ('end', 1688452413.314061)]",1688446188.459255,1688452108.50839,5920.049134969711,1688452108.508414,1688452413.313974,304.80555987358093
